Date,Merchant,Category,Amount,Card_Used
2024-08-20,McDonald's,restaurant,139.81,chase-freedom-unlimited
2024-08-20,Subway,restaurant,25.3,chase-sapphire-preferred
2024-08-24,Panera Bread,restaurant,24.97,citi-custom-cash
2024-08-25,Target,grocery,153.83,amex-gold
2024-08-25,76 Gas,transportation,55.89,wells-fargo-autograph
2024-08-29,Subway,restaurant,53.52,amex-gold
2024-08-29,Panera Bread,restaurant,49.8,capital-one-savor
2024-08-29,Olive Garden,restaurant,78.87,amex-gold
2024-08-30,McDonald's,restaurant,71.36,chase-sapphire-preferred
2024-09-01,Costco,grocery,172.95,chase-sapphire-preferred
2024-09-05,Taco Bell,restaurant,104.25,wells-fargo-autograph
2024-09-06,Subway,restaurant,37.48,citi-custom-cash
2024-09-06,The Cheesecake Factory,restaurant,130.36,amex-gold
2024-09-07,Panera Bread,restaurant,126.26,amex-gold
2024-09-08,Whole Foods,grocery,225.64,amex-gold
2024-09-08,Shell Gas Station,transportation,78.5,wells-fargo-autograph
2024-09-08,Taco Bell,restaurant,128.71,capital-one-savor
2024-09-09,Chick-fil-A,restaurant,81.74,citi-custom-cash
2024-09-10,The Cheesecake Factory,restaurant,132.36,wells-fargo-autograph
2024-09-11,McDonald's,restaurant,49.8,amex-gold
2024-09-12,Sheraton,hotel,157.29,chase-sapphire-reserve
2024-09-15,Safeway,grocery,183.41,amex-blue-cash-preferred
2024-09-15,Chipotle,restaurant,35.09,chase-sapphire-preferred
2024-09-18,Olive Garden,restaurant,102.88,wells-fargo-autograph
2024-09-20,McDonald's,restaurant,74.0,amex-gold
2024-09-22,Aldi,grocery,238.36,amex-blue-cash-preferred
2024-09-22,Shell Gas Station,transportation,39.75,wells-fargo-autograph
2024-09-26,Panera Bread,restaurant,81.33,chase-sapphire-preferred
2024-09-28,Subway,restaurant,69.09,capital-one-savor
2024-09-28,Panera Bread,restaurant,44.44,capital-one-savor
2024-09-29,Costco,grocery,234.89,amex-blue-cash-preferred
2024-09-30,Taco Bell,restaurant,92.35,wells-fargo-autograph
2024-10-02,Starbucks,restaurant,60.52,chase-sapphire-preferred
2024-10-03,Subway,restaurant,40.7,capital-one-savor
2024-10-04,Chick-fil-A,restaurant,43.14,capital-one-savor
2024-10-06,Target,grocery,83.08,amex-blue-cash-preferred
2024-10-06,Lyft,transportation,78.05,citi-custom-cash
2024-10-09,Chipotle,restaurant,51.25,amex-gold
2024-10-10,Taco Bell,restaurant,118.92,citi-custom-cash
2024-10-11,Chick-fil-A,restaurant,88.18,amex-gold
2024-10-12,Starbucks,restaurant,96.09,citi-custom-cash
2024-10-13,Whole Foods,grocery,131.21,amex-blue-cash-preferred
2024-10-16,Olive Garden,restaurant,77.03,citi-custom-cash
2024-10-16,Taco Bell,restaurant,45.08,citi-custom-cash
2024-10-19,Comfort Inn,hotel,226.22,capital-one-savor
2024-10-19,McDonald's,restaurant,119.11,bofa-premium-rewards
2024-10-20,Target,grocery,156.94,amex-blue-cash-preferred
2024-10-20,76 Gas,transportation,49.13,wells-fargo-autograph
2024-10-21,McDonald's,restaurant,94.94,citi-custom-cash
2024-10-23,Olive Garden,restaurant,30.17,amex-gold
2024-10-23,The Cheesecake Factory,restaurant,54.23,citi-custom-cash
2024-10-24,Olive Garden,restaurant,57.23,citi-custom-cash
2024-10-27,Costco,grocery,179.7,chase-freedom-flex
2024-10-28,McDonald's,restaurant,104.41,capital-one-savor
2024-10-31,Red Lobster,restaurant,120.48,amex-gold
2024-11-01,Chipotle,restaurant,72.63,amex-gold
2024-11-03,Safeway,grocery,208.45,amex-gold
2024-11-03,Shell Gas Station,transportation,43.55,bofa-customized-cash
2024-11-04,McDonald's,restaurant,143.93,capital-one-savor
2024-11-08,Olive Garden,restaurant,125.64,capital-one-savor
2024-11-09,McDonald's,restaurant,20.92,amex-gold
2024-11-10,Costco,grocery,207.01,citi-double-cash
2024-11-11,Chick-fil-A,restaurant,67.07,citi-custom-cash
2024-11-13,The Cheesecake Factory,restaurant,100.66,capital-one-savor
2024-11-15,Chipotle,restaurant,40.44,chase-sapphire-preferred
2024-11-17,Target,grocery,172.74,citi-custom-cash
2024-11-17,Shell Gas Station,transportation,46.81,citi-custom-cash
2024-11-17,Chipotle,restaurant,147.98,amex-gold
2024-11-19,Olive Garden,restaurant,131.58,capital-one-savor
2024-11-22,McDonald's,restaurant,67.43,amex-gold
2024-11-22,Subway,restaurant,111.26,wells-fargo-autograph
2024-11-24,Target,grocery,119.0,citi-double-cash
2024-11-26,Chick-fil-A,restaurant,84.18,capital-one-savor
2024-11-26,The Cheesecake Factory,restaurant,96.87,citi-custom-cash
2024-11-27,Red Lobster,restaurant,20.71,amex-gold
2024-11-29,Taco Bell,restaurant,71.67,citi-custom-cash
2024-12-01,Safeway,grocery,182.31,chase-freedom-flex
2024-12-01,Uber,transportation,54.17,citi-double-cash
2024-12-04,The Cheesecake Factory,restaurant,59.68,citi-custom-cash
2024-12-04,Taco Bell,restaurant,125.06,capital-one-savor
2024-12-07,Chipotle,restaurant,85.92,bofa-premium-rewards
2024-12-08,Costco,grocery,126.02,amex-blue-cash-preferred
2024-12-10,Red Lobster,restaurant,101.81,amex-gold
2024-12-10,Chipotle,restaurant,106.05,capital-one-savor
2024-12-11,Comfort Inn,hotel,177.62,amex-platinum
2024-12-14,Chick-fil-A,restaurant,57.38,amex-gold
2024-12-15,Costco,grocery,158.78,citi-custom-cash
2024-12-15,Lyft,transportation,27.95,citi-custom-cash
2024-12-16,Panera Bread,restaurant,132.12,citi-custom-cash
2024-12-19,McDonald's,restaurant,122.23,capital-one-savor
2024-12-19,Olive Garden,restaurant,103.39,citi-custom-cash
2024-12-22,Safeway,grocery,204.38,citi-custom-cash
2024-12-23,Starbucks,restaurant,8.55,amex-gold
2024-12-24,Chick-fil-A,restaurant,149.78,chase-freedom-unlimited
2024-12-28,Subway,restaurant,61.53,capital-one-savor
2024-12-29,Costco,grocery,99.94,amex-blue-cash-preferred
2024-12-29,Chevron,transportation,64.65,bofa-customized-cash
2024-12-29,Subway,restaurant,113.45,bofa-premium-rewards
